"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"Asia/Novosibirsk","NOVT","NOVT","NOVST","NOVST","+06:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Omsk","OMST","OMST","OMSST","OMSST","+06:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Rangoon","MMT","MMT",,,"+06:30:00","+00:00:00",,,,"+00:00:00"
"Asia/Sakhalin","SAKT","SAKT","SAKST","SAKST","+10:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Samarkand","UZT","UZT",,,"+05:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Seoul","KST","KST",,,"+09:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Singapore","SGT","SGT",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Tbilisi","GET","GET","GEST","GEST","+04:00:00","+01:00:00","-1,0,3","+00:00:00","-1,0,10","+00:00:00"
"Asia/Tehran","IRT","IRT",,,"+03:30:00","+00:00:00",,,,"+00:00:00"
"Asia/Thimphu","BTT","BTT",,,"+06:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Tokyo","JST","JST",,,"+09:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Ulaanbaatar","ULAT","ULAT",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Vladivostok","VLAT","VLAT","VLAST","VLAST","+10:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Yakutsk","YAKT","YAKT","YAKST","YAKST","+09:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Yekaterinburg","YEKT","YEKT","YEKST","YEKST","+05:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Atlantic/Azores","AZOT","AZOT","AZOST","AZOST","-01:00:00","+01:00:00","-1,0,3","+00:00:00","-1,0,10","+01:00:00"
"Atlantic/Cape_Verde","CVT","CVT",,,"-01:00:00","+00:00:00",,,,"+00:00:00"
"Atlantic/Stanley","FKT","FKT","FKST","FKST","-04:00:00","+01:00:00","1,0,9","+02:00:00","3,0,4","+02:00:00"
"Australia/Lord_Howe","LHST","LHST","LHST","LHST","+10:30:00","+00:30:00","-1,0,10","+02:00:00","-1,0,3","+02:00:00"
"Australia/Perth","WST","WST",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
"Europe/Helsinki","EET","EET","EEST","EEST","+02:00:00","+01:00:00","-1,0,3","+03:00:00","-1,0,10","+04:00:00"
"Europe/Lisbon","WET","WET","WEST","WEST","+00:00:00","+01:00:00","-1,0,3","+01:00:00","-1,0,10","+02:00:00"
"Europe/London","GMT","GMT","BST","BST","+00:00:00","+01:00:00","-1,0,3","+01:00:00","-1,0,10","+02:00:00"
"Europe/Madrid","CET","CET","CEST","CEST","+01:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Europe/Moscow","MSK","MSK","MSD","MSD","+03:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Europe/Samara","SAMT","SAMT","SAMST","SAMST","+04:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Indian/Chagos","IOT","IOT",,,"+06:00:00","+00:00:00",,,,"+00:00:00"
"Indian/Christmas","CXT","CXT",,,"+07:00:00","+00:00:00",,,,"+00:00:00"
"Indian/Cocos","CCT","CCT",,,"+06:30:00","+00:00:00",,,,"+00:00:00"
"Indian/Kerguelen","TFT","TFT",,,"+05:00:00","+00:00:00",,,,"+00:00:00"
"Indian/Mahe","SCT","SCT",,,"+04:00:00","+00:00:00",,,,"+00:00:00"
"Indian/Maldives","MVT","MVT",,,"+05:00:00","+00:00:00",,,,"+00:00:00"
"Indian/Mauritius","MUT","MUT",,,"+04:00:00","+00:00:00",,,,"+00:00:00"
"Indian/Reunion","RET","RET",,,"+04:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Auckland","NZST","NZST","NZDT","NZDT","+12:00:00","+01:00:00","1,0,10","+02:00:00","3,0,3","+03:00:00"
"Pacific/Chatham","CHAST","CHAST","CHADT","CHADT","+12:45:00","+01:00:00","1,0,10","+02:45:00","3,0,3","+03:45:00"
"Pacific/Easter","EAST","EAST","EASST","EASST","-06:00:00","+01:00:00","2,6,10","+22:00:00","2,6,3","+22:00:00"
"Pacific/Efate","VUT","VUT",,,"+11:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Enderbury","PHOT","PHOT",,,"+13:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Fakaofo","TKT","TKT",,,"-10:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Fiji","FJT","FJT",,,"+12:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Funafuti","TVT","TVT",,,"+12:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Galapagos","GALT","GALT",,,"-06:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Gambier","GAMT","GAMT",,,"-09:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Guadalcanal","SBT","SBT",,,"+11:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Guam","ChST","ChST",,,"+10:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Honolulu","HST","HST",,,"-10:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Kiritimati","LINT","LINT",,,"+14:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Kosrae","KOST","KOST",,,"+11:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Kwajalein","MHT","MHT",,,"+12:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Marquesas","MART","MART",,,"-09:30:00","+00:00:00",,,,"+00:00:00"
"Pacific/Midway","SST","SST",,,"-11:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Nauru","NRT","NRT",,,"+12:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Niue","NUT","NUT",,,"-11:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Norfolk","NFT","NFT",,,"+11:30:00","+00:00:00",,,,"+00:00:00"
"Pacific/Noumea","NCT","NCT",,,"+11:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Palau","PWT","PWT",,,"+09:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Ponape","PONT","PONT",,,"+11:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Port_Moresby","PGT","PGT",,,"+10:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Rarotonga","CKT","CKT",,,"-10:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Tahiti","TAHT","TAHT",,,"-10:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Tarawa","GILT","GILT",,,"+12:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Tongatapu","TOT","TOT",,,"+13:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Truk","TRUT","TRUT",,,"+10:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Wake","WAKT","WAKT",,,"+12:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Wallis","WFT","WFT",,,"+12:00:00","+00:00:00",,,,"+00:00:00"
"Pacific/Yap","YAPT","YAPT",,,"+10:00:00","+00:00:00",,,,"+00:00:00"
